LogFile1: GET /students - 2026-02-09T09:12:10.698Z
LogFile2: GET /students - 2026-02-09T09:12:10.725Z
LogFile1: GET /favicon.ico - 2026-02-09T09:12:10.798Z
LogFile2: GET /favicon.ico - 2026-02-09T09:12:10.800Z
LogFile1: GET /students - 2026-02-09T09:12:50.451Z
LogFile2: GET /students - 2026-02-09T09:12:50.469Z
LogFile1: GET /students - 2026-02-09T09:13:00.085Z
LogFile2: GET /students - 2026-02-09T09:13:00.088Z
LogFile1: GET /students - 2026-02-09T09:13:04.864Z
LogFile2: GET /students - 2026-02-09T09:13:04.866Z
2026-02-10T09:39:11.451Z | GET / | 404 | 55ms
2026-02-10T09:39:47.677Z | GET /students | 500 | 8ms
2026-02-10T09:40:40.523Z | GET /students | 500 | 10ms
2026-02-10T09:40:56.233Z | GET /students | 500 | 3ms
2026-02-10T09:40:57.138Z | GET /students | 500 | 2ms
2026-02-10T09:41:01.513Z | GET / | 404 | 3ms
2026-02-10T09:41:02.480Z | GET / | 404 | 2ms
2026-02-10T09:41:08.692Z | GET /students | 500 | 2ms
2026-02-10T09:42:30.366Z | GET /students | 500 | 9ms
2026-02-10T09:47:20.998Z | GET /students | 500 | 2ms
2026-02-10T09:50:44.357Z | GET /students | 200 | 10ms
2026-02-10T09:50:53.001Z | GET /students | 200 | 3ms
2026-02-10T09:51:05.404Z | GET / | 404 | 3ms
2026-02-10T09:51:15.913Z | GET /students | 401 | 2ms
2026-02-10T09:51:15.992Z | GET /favicon.ico | 404 | 2ms
2026-02-10T09:53:07.964Z | GET /students | 200 | 2ms
2026-02-10T09:53:08.832Z | GET /students | 200 | 2ms
2026-02-10T09:53:15.775Z | GET /students | 200 | 2ms
2026-02-10T09:53:16.772Z | GET /students | 200 | 2ms
2026-02-10T09:53:24.781Z | GET /students | 200 | 5ms
2026-02-10T09:54:18.997Z | GET /students | 200 | 4ms
2026-02-10T09:54:19.941Z | GET /students | 200 | 2ms
2026-02-10T09:54:31.899Z | GET /students | 200 | 2ms
2026-02-10T09:54:32.424Z | GET /students | 200 | 1ms
2026-02-10T09:58:13.274Z | GET /students | 200 | 1ms
